year,session,code,unit,max_mark,a*,a,b,c,d,e,u
2025,Jun,WME01,Unit 1: Mechanics 1,75,,64,56,48,40,33,0
2025,Jun,WME02,Unit 2: Mechanics 2,75,62,55,48,42,36,30,0
2025,Jun,WME02,Unit 2A: Mechanics 2,75,62,55,48,42,36,30,0
2025,Jun,WME03,Unit 3: Mechanics 3,75,69,64,56,48,41,34,0
2025,Jun,WPH11,Unit 1: Mechanics and Materials,80,,59,52,46,40,34,0
2025,Jun,WPH12,Unit 2: Waves and Electricity,80,,58,51,44,37,31,0
2025,Jun,WPH13,Unit 3: Practical Skills in Physics I,50,,36,32,28,24,21,0
2025,Jun,WPH14,"Unit 4: Further Mechanics, Fields and Particles",90,80,71,62,54,46,38,0
2025,Jun,WPH15,"Unit 5: Thermodynamics, Radiation, Oscillations and Cosmology",90,79,71,63,55,47,39,0
2025,Jun,WPH16,Unit 6: Practical Skills in Physics II,50,43,38,33,28,23,18,0
2025,Jun,WPS01,Unit 1: Social and cognitive psychology,64,,27,24,21,19,17,0
2025,Jun,WPS02,"Unit 2: Biological psychology, learning theories and development",96,,49,41,34,27,20,0
2025,Jun,WPS03,Unit 3: Applications of psychology,64,40,35,30,25,21,17,0
2025,Jun,WPS04,Unit 4: Clinical psychology and psychological skills,96,50,42,34,26,19,12,0
2025,Jun,WSP01,Unit 1: Spoken Expression and Response,40,,30,26,22,19,16,0
2025,Jun,WSP02,Unit 2: Understanding and Written Response,90,,72,63,54,45,37,0
2025,Jun,WSP03,Unit 3: Understanding and Spoken Response,40,35,31,27,23,19,16,0
2025,Jun,WSP04,"Unit 4: Research, Understanding and Written Response",90,81,73,61,49,38,27,0
2025,Jun,WST01,Unit 1: Statistics 1,75,,57,49,41,33,25,0
2025,Jun,WST02,Unit 2: Statistics 2,75,67,60,51,43,35,27,0
2025,Jun,WST03,Unit 3: Statistics 3,75,70,66,57,49,41,33,0
2025,Jun,YLA1,Law (Papers 1 & 2),200,126,114,102,90,79,68,0
2025,Jan,WAA01,Unit 1: Understanding and Written Response,80,,50,42,35,28,21,0
2025,Jan,WAA02,Unit 2: Writing and Research,80,67,57,47,37,27,18,0
2025,Jan,WAC11,Unit 1: The Accounting System and Costing,200,,134,111,88,66,44,0
2025,Jan,WAC12,Unit 2: Corporate and Management Accounting,200,164,147,130,113,96,79,0
2025,Jan,WBI11,"Unit 1: Molecules, Diet, Transport and Health",80,,49,43,37,31,25,0
2025,Jan,WBI12,"Unit 2: Cells, Development, Biodiversity and Conservation",80,,54,47,40,33,27,0
2025,Jan,WBI13,Unit 3: Practical Skills in Biology I,50,,33,29,25,22,19,0
2025,Jan,WBI14,"Unit 4: Energy, Environment, Microbiology and Immunity",90,59,53,47,41,35,30,0
2025,Jan,WBI15,"Unit 5: Respiration, Internal Environment, Coordination and Gene",90,64,57,50,43,36,30,0
2025,Jan,WBI16,Unit 6: Practical Skills in Biology II,50,42,38,34,30,26,22,0
2025,Jan,WBS11,Unit 1: Marketing and People,80,,54,49,44,39,35,0
2025,Jan,WBS12,Unit 2: Managing Business Activities,80,,51,46,41,36,32,0
2025,Jan,WBS13,Unit 3: Business Decisions And Strategy,80,46,42,38,34,30,27,0
2025,Jan,WBS14,Unit 4: Global Business,80,57,50,43,36,29,22,0
2025,Jan,WCH11,"Unit 1: Structure, Bonding and Introducttion to Organic Chemistry",80,,52,45,38,32,26,0
2025,Jan,WCH12,"Unit 2: Energetics, Group Chemistry, Halogenoalkanes and Alcohol",80,,53,45,37,30,23,0
2025,Jan,WCH13,Unit 3: Practical Skills in Chemistry I,50,,32,27,23,19,15,0
2025,Jan,WCH14,"Unit 4: Rates, Equilibria and Further Organic Chemistry",90,73,66,59,52,45,39,0
2025,Jan,WCH15,Unit 5: Transition Metals and Organic Nitrogen Chemistry,90,71,65,59,53,47,42,0
2025,Jan,WCH16,Unit 6: Practical Skills in Chemistry II,50,35,30,25,20,16,12,0
2025,Jan,WDM11,D1: Decision Mathematics 1,75,,58,51,45,39,33,0
2025,Jan,WEC11,Unit 1: Markets in Action,80,,52,46,41,36,31,0
2025,Jan,WEC12,Unit 2: Macroeconomic Performance and Policy,80,,51,46,41,36,32,0
2025,Jan,WEC13,Unit 3: Business Behaviour,80,60,55,50,45,40,35,0
2025,Jan,WEC14,Unit 4: Developments in the Global Economy,80,58,53,48,43,38,33,0
2025,Jan,WEN01,Unit 1: Language: Context and Identity,50,,33,29,25,21,18,0
2025,Jan,WEN01,Unit 1C: Language: Context and Identity,50,,33,29,25,21,18,0
2025,Jan,WEN02,Unit 2: Language in Transition,50,,36,31,26,22,18,0
2025,Jan,WEN02,Unit 2C: Language in Transition,50,,36,31,26,22,18,0
2025,Jan,WEN03,Unit 3: Crafting Language (Writing),50,37,33,29,25,22,19,0
2025,Jan,WEN04,Unit 4: Investigating Language,50,36,31,26,21,17,13,0
2025,Jan,WET01,Unit 1: Post-2000 Poetry and Prose,50,,34,30,26,22,18,0
2025,Jan,WET01,Unit 1C: Post-2000 Poetry and Prose,50,,34,30,26,22,18,0
2025,Jan,WET02,Unit 2: Drama,50,,32,28,24,20,17,0
2025,Jan,WET02,Unit 2C: Drama,50,,32,28,24,20,17,0
2025,Jan,WET03,Unit 3: Poetry and Prose,50,38,34,30,26,22,19,0
2025,Jan,WET03,Unit 3C: Poetry and Prose,50,38,34,30,26,22,19,0
2025,Jan,WET04,Unit 4: Shakespeare and Pre-1900 Poetry,50,43,38,33,28,23,18,0
2025,Jan,WET04,Unit 4C: Shakespeare and Pre-1900 Poetry,50,43,38,33,28,23,18,0
2025,Jan,WFM01,FP1: Further Pure Mathematics 1,75,,64,58,52,46,40,0
2025,Jan,WFM02,FP2: Further Pure Mathematics 2,75,70,66,58,50,43,36,0
2025,Jan,WFM03,FP3: Further Pure Mathematics 3,75,68,62,55,48,42,36,0
2025,Jan,WFR01,Unit 1: Spoken Expression and Response,40,,32,28,24,20,16,0
2025,Jan,WFR02,Unit 2: Understanding and Written Response,90,,76,70,64,58,52,0
2025,Jan,WFR03,Unit 3: Understanding and Spoken Response,40,37,34,29,25,21,17,0
2025,Jan,WFR04,"Unit 4: Research, Understanding and Written Response",90,81,72,62,53,44,35,0
2025,Jan,WGE01,Unit 1: Global Challenges,90,,58,53,49,45,41,0
2025,Jan,WGE02,Unit 2: Geographical Investigations,60,,47,43,39,35,32,0
2025,Jan,WGE03,Unit 3: Contested Planet,90,69,61,53,45,37,30,0
2025,Jan,WGE04,Unit 4: Researching Geography,60,53,47,40,33,26,20,0
2025,Jan,WGN01,Unit 1: Spoken Expression and Response,40,,31,28,25,23,21,0
2025,Jan,WGN02,Unit 2: Understanding and Written Response,90,,68,60,52,44,37,0
2025,Jan,WGN03,Unit 3: Understanding and Spoken Response,40,37,34,29,24,20,16,0
2025,Jan,WGN04,"Unit 4: Research, Understanding and Written Response",90,73,66,59,52,45,38,0
2025,Jan,WHI01,"1A: France in Revolution, 1774-99",50,,39,34,29,25,21,0
2025,Jan,WHI01,"1B: Russia in Revolution, 1881-1917",50,,39,34,30,26,22,0
2025,Jan,WHI01,"1C: Germany, 1918-45",50,,39,34,29,25,21,0
2025,Jan,WHI01,"1D: Britain, 1964-90",50,,39,34,29,25,21,0
2025,Jan,WHI02,"1A: India, 1857-1948: The Raj to Partition",50,,34,31,28,25,22,0
2025,Jan,WHI02,"1B: China, 1900-76",50,,35,31,28,25,22,0
2025,Jan,WHI02,"1C: Russia, 1917-91: From Lenin to Yeltsin",50,,34,31,28,25,22,0
2025,Jan,WHI02,"1D: South Africa, 1948-2014",50,,34,31,28,25,22,0
2025,Jan,WHI03,"1A: The USA, Independence to Civil War, 1763-1865",50,38,34,30,27,24,21,0
2025,Jan,WHI03,"1B: The British Experience of Warfare, 1803-1945",50,38,34,30,27,24,21,0
2025,Jan,WHI03,"1C: Germany: United, Divided and Reunited,1 870-1990",50,38,34,30,27,24,21,0
2025,Jan,WHI03,"1D: Civil Rights and Race Relations in the USA,1 865-2009",50,38,34,30,27,24,21,0
2025,Jan,WHI04,"1A: The Making of Modern Europe, 1805-71",50,38,34,30,27,24,21,0
2025,Jan,WHI04,"1B: The World in Crisis, 1879-1945",50,39,35,31,27,23,19,0
2025,Jan,WHI04,"1C: The World Divided: Superpower Relations, 1 943-90",50,39,35,31,27,23,20,0
2025,Jan,WHI04,"1D: The Cold War and Hot War in Asia, 1945-90",50,37,33,29,26,23,20,0
2025,Jan,WMA11,P1: Pure Mathematics 1,75,,55,48,41,34,27,0
2025,Jan,WMA12,P2: Pure Mathematics 2,75,,54,47,40,34,28,0
2025,Jan,WMA13,P3: Pure Mathematics 3,75,65,59,53,47,41,36,0
2025,Jan,WMA14,P4: Pure Mathematics 4,75,68,61,53,45,37,30,0
2025,Jan,WME01,M1: Mechanics 1,75,,64,56,48,40,33,0
2025,Jan,WME02,M2: Mechanics 2,75,67,60,53,46,39,32,0
2025,Jan,WME03,M3: Mechanics 3,75,68,62,53,45,37,29,0
2025,Jan,WPH11,Unit 1: Mechanics and Materials,80,,61,54,47,40,34,0
2025,Jan,WPH12,Unit 2: Waves and Electricity,80,,59,51,43,36,29,0
2025,Jan,WPH13,Unit 3: Practical Skills in Physics I,50,,37,32,27,23,19,0
2025,Jan,WPH14,"Unit 4: Further Mechanics, Fields and Particles",90,78,71,64,57,50,43,0
2025,Jan,WPH15,"Unit 5: Thermodynamics, Radiation, Oscillations and Cosmology",90,79,71,63,55,47,40,0
2025,Jan,WPH16,Unit 6: Practical Skills in Physics II,50,42,37,32,27,23,19,0
2025,Jan,WPS01,Unit 1: Social and cognitive psychology,64,,32,28,24,20,17,0
2025,Jan,WPS02,"Unit 2: Biological psychology, learning theories and development",96,,43,35,28,21,14,0
2025,Jan,WPS03,Unit 3: Applications of psychology,64,35,31,27,23,19,15,0
2025,Jan,WPS04,Unit 4: Clinical psychology and psychological skills,96,46,39,32,26,20,14,0
2025,Jan,WSP01,Unit 1: Spoken Expression and Response,40,,30,26,22,18,14,0
2025,Jan,WSP02,Unit 2: Understanding and Written Response,90,,69,61,53,45,37,0
2025,Jan,WSP03,Unit 3: Understanding and Spoken Response,40,33,30,27,24,21,18,0
2025,Jan,WSP04,"Unit 4: Research, Understanding and Written Response",90,79,69,59,50,41,32,0
2025,Jan,WST01,S1: Statistics 1,75,,59,51,43,35,27,0
2025,Jan,WST02,S2: Statistics 2,75,67,59,51,43,35,27,0
2025,Jan,WST03,S3: Statistics 3,75,70,66,57,48,39,31,0
2024,Oct,WAC11,Unit 1: The Accounting System and Costing,200,,139,119,99,79,60,0
2024,Oct,WAC12,Unit 2: Corporate and Management Accounting,200,174,152,130,109,88,67,0
2024,Oct,WBI11,"Unit 1: Molecules, Diet, Transport and Health",80,,46,40,35,30,25,0
2024,Oct,WBI12,"Unit 2: Cells, Development, Biodiversity and Conservation",80,,53,46,39,32,26,0
2024,Oct,WBI13,Unit 3: Practical Skills in Biology I,50,,33,29,25,22,19,0
2024,Oct,WBI14,"Unit 4: Energy, Environment, Microbiology and Immunity",90,56,50,44,38,33,28,0
2024,Oct,WBI15,"Unit 5: Respiration, Internal Environment, Coordination and Gene",90,63,56,49,42,35,29,0
2024,Oct,WBI16,Unit 6: Practical Skills in Biology II,50,42,38,34,30,26,22,0
2024,Oct,WBS11,Unit 1: Marketing and People,80,,54,49,44,39,35,0
2024,Oct,WBS12,Unit 2: Managing Business Activities,80,,54,49,44,39,34,0
2024,Oct,WBS13,Unit 3: Business Decisions And Strategy,80,47,43,39,35,31,27,0
2024,Oct,WBS14,Unit 4: Global Business,80,54,49,44,39,34,29,0
2024,Oct,WCH11,"Unit 1: Structure, Bonding and Introducttion to Organic Chemistry",80,,55,48,41,34,28,0
2024,Oct,WCH12,"Unit 2: Energetics, Group Chemistry, Halogenoalkanes and Alcohol",80,,54,46,39,32,25,0
2024,Oct,WCH13,Unit 3: Practical Skills in Chemistry I,50,,29,24,20,16,12,0
2024,Oct,WCH14,"Unit 4: Rates, Equilibria and Further Organic Chemistry",90,70,62,54,46,39,32,0
2024,Oct,WCH15,Unit 5: Transition Metals and Organic Nitrogen Chemistry,90,63,57,51,45,39,33,0
2024,Oct,WCH16,Unit 6: Practical Skills in Chemistry II,50,37,32,27,22,18,14,0
2024,Oct,WEC11,Unit 1: Markets in Action,80,,55,49,43,37,31,0
2024,Oct,WEC12,Unit 2: Macroeconomic Performance and Policy,80,,55,49,44,39,34,0
2024,Oct,WEC13,Unit 3: Business Behaviour,80,58,53,48,43,38,33,0
2024,Oct,WEC14,Unit 4: Developments in the Global Economy,80,60,54,48,42,36,30,0
2024,Oct,WMA11,P1: Pure Mathematics 1,75,,55,48,41,34,27,0
2024,Oct,WMA12,P2: Pure Mathematics 2,75,,54,47,40,34,28,0
2024,Oct,WMA13,P3: Pure Mathematics 3,75,65,59,53,47,41,36,0
2024,Oct,WMA14,P4: Pure Mathematics 4,75,58,52,46,40,34,28,0
2024,Oct,WME01,M1: Mechanics 1,75,,63,55,47,39,32,0
2024,Oct,WME02,M2: Mechanics 2,75,67,60,52,45,38,31,0
2024,Oct,WPH11,Unit 1: Mechanics and Materials,80,,61,54,47,40,34,0
2024,Oct,WPH12,Unit 2: Waves and Electricity,80,,59,51,43,36,29,0
2024,Oct,WPH13,Unit 3: Practical Skills in Physics I,50,,37,32,27,23,19,0
2024,Oct,WPH14,"Unit 4: Further Mechanics, Fields and Particles",90,78,71,64,57,50,43,0
2024,Oct,WPH15,"Unit 5: Thermodynamics, Radiation, Oscillations and Cosmology",90,79,71,63,55,47,40,0
2024,Oct,WPH16,Unit 6: Practical Skills in Physics II,50,42,37,32,27,23,19,0
2024,Oct,WST01,S1: Statistics 1,75,,60,51,43,35,27,0
2024,Oct,WST02,S2: Statistics 2,75,66,58,49,41,33,25,0
2024,Jun,WAA01,Unit 1: Understanding and Written Response,80,,53,44,35,26,17,0
2024,Jun,WAA02,Unit 2: Writing and Research,80,66,57,48,39,31,23,0
2024,Jun,WAC11,Unit 1: The Accounting System and Costing,200,,135,114,93,73,53,0
2024,Jun,WAC12,Unit 2: Corporate and Management Accounting,200,166,147,128,109,90,72,0
2024,Jun,WBI11,"Unit 1: Molecules, Diet, Transport and Health",80,,49,44,39,35,31,0
2024,Jun,WBI12,"Unit 2: Cells, Development, Biodiversity and Conservation",80,,58,54,50,46,42,0
2024,Jun,WBI13,Unit 3: Practical Skills in Biology I,50,,33,29,25,21,18,0
2024,Jun,WBI14,"Unit 4: Energy, Environment, Microbiology and Immunity",90,57,53,49,45,41,38,0
2024,Jun,WBI15,"Unit 5: Respiration, Internal Environment, Coordination and Gene",90,61,57,53,49,46,43,0
2024,Jun,WBI16,Unit 6: Practical Skills in Biology II,50,42,38,34,30,26,22,0
2024,Jun,WBS11,Unit 1: Marketing and People,80,,54,49,44,39,35,0
2024,Jun,WBS12,Unit 2: Managing Business Activities,80,,54,49,44,39,35,0
2024,Jun,WBS13,Unit 3: Business Decisions And Strategy,80,47,42,37,33,29,25,0
2024,Jun,WBS14,Unit 4: Global Business,80,54,48,42,37,32,27,0
2024,Jun,WCH11,"Unit 1: Structure, Bonding and Introducttion to Organic Chemistry",80,,57,51,45,39,33,0
2024,Jun,WCH12,"Unit 2: Energetics, Group Chemistry, Halogenoalkanes and Alcohol",80,,53,46,39,33,27,0
2024,Jun,WCH12,"Unit 2R: Energetics, Group Chemistry, Halogenoalkanes and Alcohol",80,,60,53,46,40,34,0
2024,Jun,WCH13,Unit 3: Practical Skills in Chemistry I,50,,30,26,22,18,14,0
2024,Jun,WCH13,Unit 3R: Practical Skills in Chemistry I,50,,35,30,25,20,16,0
2024,Jun,WCH14,"Unit 4: Rates, Equilibria and Further Organic Chemistry",90,69,63,57,51,45,39,0
2024,Jun,WCH15,Unit 5: Transition Metals and Organic Nitrogen Chemistry,90,65,59,53,47,42,37,0
2024,Jun,WCH16,Unit 6: Practical Skills in Chemistry II,50,39,36,33,30,27,24,0
2024,Jun,WDM11,D1: Decision Mathematics 1,75,,57,52,47,42,38,0
2024,Jun,WEC11,Unit 1: Markets in Action,80,,59,53,47,41,36,0
2024,Jun,WEC12,Unit 2: Macroeconomic Performance and Policy,80,,55,49,43,38,33,0
2024,Jun,WEC13,Unit 3: Business Behaviour,80,58,53,48,43,39,35,0
2024,Jun,WEC14,Unit 4: Developments in the Global Economy,80,56,50,44,38,32,26,0
2024,Jun,WEN01,Unit 1: Language: Context and Identity,50,,32,28,24,21,18,0
2024,Jun,WEN01,Unit 1C: Language: Context and Identity,50,,32,28,24,21,18,0
2024,Jun,WEN02,Unit 2: Language in Transition,50,,38,33,28,23,18,0
2024,Jun,WEN02,Unit 2C: Language in Transition,50,,38,33,28,23,18,0
2024,Jun,WEN03,Unit 3: Crafting Language (Writing),50,37,33,29,25,22,19,0
2024,Jun,WEN04,Unit 4: Investigating Language,50,36,31,26,21,17,13,0
2024,Jun,WET01,Unit 1: Post-2000 Poetry and Prose,50,,31,28,25,22,19,0
2024,Jun,WET01,Unit 1C: Post-2000 Poetry and Prose,50,,31,28,25,22,19,0
2024,Jun,WET02,Unit 2: Drama,50,,32,28,24,21,18,0
2024,Jun,WET02,Unit 2C: Drama,50,,32,28,24,21,18,0
2024,Jun,WET03,Unit 3: Poetry and Prose,50,36,32,28,24,20,17,0
2024,Jun,WET03,Unit 3C: Poetry and Prose,50,36,32,28,24,20,17,0
2024,Jun,WET04,Unit 4: Shakespeare and Pre-1900 Poetry,50,45,40,34,28,23,18,0
2024,Jun,WET04,Unit 4C: Shakespeare and Pre-1900 Poetry,50,45,40,34,28,23,18,0
2024,Jun,WFM01,FP1: Further Pure Mathematics 1,75,,64,57,50,44,38,0
2024,Jun,WFM02,FP2: Further Pure Mathematics 2,75,71,68,60,52,45,38,0
2024,Jun,WFM03,FP3: Further Pure Mathematics 3,75,61,55,49,43,38,33,0
2024,Jun,WFR01,Unit 1: Spoken Expression and Response,40,,32,28,24,20,16,0
2024,Jun,WFR02,Unit 2: Understanding and Written Response,90,,72,66,60,54,49,0
2024,Jun,WFR03,Unit 3: Understanding and Spoken Response,40,37,34,29,25,21,17,0
2024,Jun,WFR04,"Unit 4: Research, Understanding and Written Response",90,81,72,62,53,44,35,0
2024,Jun,WGE01,Unit 1: Global Challenges,90,,60,55,51,47,43,0
2024,Jun,WGE02,Unit 2: Geographical Investigations,60,,46,42,38,35,32,0
2024,Jun,WGE03,Unit 3: Contested Planet,90,67,60,53,46,39,33,0
2024,Jun,WGE04,Unit 4: Researching Geography,60,53,46,39,32,25,19,0
2024,Jun,WGK01,Unit 1: Understanding and Written Response,80,,56,48,41,34,27,0
2024,Jun,WGK02,Unit 2: Writing and Research,80,68,61,54,47,41,35,0
2024,Jun,WGN01,Unit 1: Spoken Expression and Response,40,,31,28,25,23,21,0
2024,Jun,WGN02,Unit 2: Understanding and Written Response,90,,67,59,51,43,36,0
2024,Jun,WGN03,Unit 3: Understanding and Spoken Response,40,37,34,29,24,20,16,0
2024,Jun,WGN04,"Unit 4: Research, Understanding and Written Response",90,73,65,57,50,43,36,0
2024,Jun,WHI01,"1A: France in Revolution, 1774-99",50,,39,34,29,25,21,0
2024,Jun,WHI01,"1B: Russia in Revolution, 1881-1917",50,,39,34,30,26,22,0
2024,Jun,WHI01,"1C: Germany, 1918-45",50,,39,34,29,25,21,0
2024,Jun,WHI01,"1D: Britain, 1964-90",50,,39,34,29,25,21,0
2024,Jun,WHI02,"1A: India, 1857-1948: The Raj to Partition",50,,34,31,28,25,22,0
2024,Jun,WHI02,"1B: China, 1900-76",50,,35,31,28,25,22,0
2024,Jun,WHI02,"1C: Russia, 1917-91: From Lenin to Yeltsin",50,,35,31,28,25,22,0
2024,Jun,WHI02,"1D: South Africa, 1948-2014",50,,34,31,28,25,22,0
2024,Jun,WHI03,"1A: The USA, Independence to Civil War, 1763-1865",50,38,34,30,27,24,21,0
2024,Jun,WHI03,"1B: The British Experience of Warfare, 1803-1945",50,38,34,30,27,24,21,0
2024,Jun,WHI03,"1C: Germany: United, Divided and Reunited,1 870-1990",50,38,34,30,27,24,21,0
2024,Jun,WHI03,"1D: Civil Rights and Race Relations in the USA,1 865-2009",50,36,33,30,27,24,21,0
2024,Jun,WHI04,"1A: The Making of Modern Europe, 1805-71",50,38,34,30,27,24,21,0
2024,Jun,WHI04,"1B: The World in Crisis, 1879-1945",50,39,35,31,27,23,19,0
2024,Jun,WHI04,"1C: The World Divided: Superpower Relations, 1 943-90",50,40,36,32,28,24,21,0
2024,Jun,WHI04,"1D: The Cold War and Hot War in Asia, 1945-90",50,38,34,30,27,24,21,0
2024,Jun,WIT11,Unit 1,80,,45,39,33,28,23,0
2024,Jun,WIT12,Unit 2,80,,61,53,46,39,32,0
2024,Jun,WIT13,Unit 3,80,56,50,44,38,33,28,0
2024,Jun,WIT14,Unit 4,80,68,61,53,46,39,32,0
2024,Jun,WMA11,P1: Pure Mathematics 1,75,,55,48,42,36,30,0
2024,Jun,WMA11,P1: Pure Mathematics 1R,75,,55,48,42,36,30,0
2024,Jun,WMA12,P2: Pure Mathematics 2,75,,48,42,37,32,27,0
2024,Jun,WMA12,P2: Pure Mathematics 2R,75,,48,42,37,32,27,0
2024,Jun,WMA13,P3: Pure Mathematics 3,75,68,62,56,50,44,38,0
2024,Jun,WMA14,P4: Pure Mathematics 4,75,59,53,47,41,35,29,0
2024,Jun,WME01,M1: Mechanics 1,75,,64,56,48,40,33,0
2024,Jun,WME02,M2: Mechanics 2,75,59,53,47,41,35,29,0
2024,Jun,WME03,M3: Mechanics 3,75,71,67,60,53,46,39,0
2024,Jun,WPH11,Unit 1: Mechanics and Materials,80,,61,54,47,40,34,0
2024,Jun,WPH12,Unit 2: Waves and Electricity,80,,50,44,39,34,29,0
2024,Jun,WPH13,Unit 3: Practical Skills in Physics I,50,,36,32,29,26,23,0
2024,Jun,WPH14,"Unit 4: Further Mechanics, Fields and Particles",90,76,69,62,55,48,42,0
2024,Jun,WPH15,"Unit 5: Thermodynamics, Radiation, Oscillations and Cosmology",90,73,67,61,55,49,44,0
2024,Jun,WPH16,Unit 6: Practical Skills in Physics II,50,42,37,32,27,22,17,0
2024,Jun,WPS01,Unit 1: Social and cognitive psychology,64,,30,27,24,21,19,0
2024,Jun,WPS02,"Unit 2: Biological psychology, learning theories and development",96,,45,37,30,23,16,0
2024,Jun,WPS03,Unit 3: Applications of psychology,64,36,32,28,24,20,16,0
2024,Jun,WPS04,Unit 4: Clinical psychology and psychological skills,96,53,46,39,33,27,21,0
2024,Jun,WSP01,Unit 1: Spoken Expression and Response,40,,30,26,22,18,14,0
2024,Jun,WSP02,Unit 2: Understanding and Written Response,90,,74,65,56,48,40,0
2024,Jun,WSP03,Unit 3: Understanding and Spoken Response,40,33,30,27,24,21,18,0
2024,Jun,WSP04,"Unit 4: Research, Understanding and Written Response",90,80,71,60,50,40,30,0
2024,Jun,WST01,S1: Statistics 1,75,,57,49,41,33,26,0
2024,Jun,WST02,S2: Statistics 2,75,66,58,49,40,31,23,0
2024,Jun,WST03,S3: Statistics 3,75,69,63,54,45,36,27,0
2024,Jun,YLA1,Law (Papers 1 & 2),200,130,118,106,94,83,72,0
2024,Jan,WAA01,Unit 1: Understanding and Written Response,80,,53,45,37,30,23,0
2024,Jan,WAA02,Unit 2: Writing and Research,80,62,53,44,35,26,18,0
2024,Jan,WAC11,Unit 1: The Accounting System and Costing,200,,117,98,79,60,41,0
2024,Jan,WAC12,Unit 2: Corporate and Management Accounting,200,168,149,130,111,93,75,0
2024,Jan,WBI11,"Unit 1: Molecules, Diet, Transport and Health",80,,49,43,38,33,28,0
2024,Jan,WBI12,"Unit 2: Cells, Development, Biodiversity and Conservation",80,,55,51,47,43,39,0
2024,Jan,WBI13,Unit 3: Practical Skills in Biology I,50,,37,32,27,23,19,0
2024,Jan,WBI14,"Unit 4: Energy, Environment, Microbiology and Immunity",90,50,47,44,41,39,37,0
2024,Jan,WBI15,"Unit 5: Respiration, Internal Environment, Coordination and Gene",90,61,56,51,46,42,38,0
2024,Jan,WBI16,Unit 6: Practical Skills in Biology II,50,46,43,38,33,28,23,0
2024,Jan,WBS11,Unit 1: Marketing and People,80,,60,54,48,43,38,0
2024,Jan,WBS12,Unit 2: Managing Business Activities,80,,45,39,34,29,24,0
2024,Jan,WBS13,Unit 3: Business Decisions And Strategy,80,48,43,38,34,30,26,0
2024,Jan,WBS14,Unit 4: Global Business,80,56,49,42,36,30,24,0
2024,Jan,WCH11,"Unit 1: Structure, Bonding and Introducttion to Organic Chemistry",80,,59,52,45,38,32,0
2024,Jan,WCH12,"Unit 2: Energetics, Group Chemistry, Halogenoalkanes and Alcohol",80,,52,46,40,35,30,0
2024,Jan,WCH13,Unit 3: Practical Skills in Chemistry I,50,,33,28,23,19,15,0
2024,Jan,WCH14,"Unit 4: Rates, Equilibria and Further Organic Chemistry",90,74,67,60,53,47,41,0
2024,Jan,WCH15,Unit 5: Transition Metals and Organic Nitrogen Chemistry,90,69,62,55,48,41,35,0
2024,Jan,WCH16,Unit 6: Practical Skills in Chemistry II,50,35,31,27,23,19,16,0
2024,Jan,WDM11,D1: Decision Mathematics 1,75,,50,45,40,36,32,0
2024,Jan,WEC11,Unit 1: Markets in Action,80,,55,48,42,36,30,0
2024,Jan,WEC12,Unit 2: Macroeconomic Performance and Policy,80,,53,47,41,36,31,0
2024,Jan,WEC13,Unit 3: Business Behaviour,80,52,47,42,37,32,27,0
2024,Jan,WEC14,Unit 4: Developments in the Global Economy,80,58,52,46,40,34,28,0
2024,Jan,WEN01,Unit 1: Language: Context and Identity,50,,32,28,24,21,18,0
2024,Jan,WEN02,Unit 2: Language in Transition,50,,31,27,23,19,15,0
2024,Jan,WEN03,Unit 3: Crafting Language (Writing),50,37,33,29,25,22,19,0
2024,Jan,WEN04,Unit 4: Investigating Language,50,36,31,26,21,17,13,0
2024,Jan,WET01,Unit 1: Post-2000 Poetry and Prose,50,,34,30,26,22,18,0
2024,Jan,WET02,Unit 2: Drama,50,,32,28,24,20,17,0
2024,Jan,WET03,Unit 3: Poetry and Prose,50,38,34,30,26,22,19,0
2024,Jan,WET04,Unit 4: Shakespeare and Pre-1900 Poetry,50,43,38,33,28,23,18,0
2024,Jan,WFM01,FP1: Further Pure Mathematics 1,75,,62,56,50,44,39,0
2024,Jan,WFM02,FP2: Further Pure Mathematics 2,75,70,66,57,49,41,33,0
2024,Jan,WFM03,FP3: Further Pure Mathematics 3,75,53,48,43,38,33,28,0
2024,Jan,WFR01,Unit 1: Spoken Expression and Response,40,,32,28,24,20,16,0
2024,Jan,WFR02,Unit 2: Understanding and Written Response,90,,76,70,64,58,52,0
2024,Jan,WFR03,Unit 3: Understanding and Spoken Response,40,37,34,29,25,21,17,0
2024,Jan,WFR04,"Unit 4: Research, Understanding and Written Response",90,81,72,62,53,44,35,0
2024,Jan,WGE01,Unit 1: Global Challenges,90,,58,53,48,44,40,0
2024,Jan,WGE02,Unit 2: Geographical Investigations,60,,46,42,38,34,31,0
2024,Jan,WGE03,Unit 3: Contested Planet,90,67,59,51,44,37,30,0
2024,Jan,WGE04,Unit 4: Researching Geography,60,53,47,40,33,26,20,0
2024,Jan,WGN01,Unit 1: Spoken Expression and Response,40,,31,28,25,23,21,0
2024,Jan,WGN02,Unit 2: Understanding and Written Response,90,,68,60,52,44,37,0
2024,Jan,WGN03,Unit 3: Understanding and Spoken Response,40,37,34,29,24,20,16,0
2024,Jan,WGN04,"Unit 4: Research, Understanding and Written Response",90,74,66,59,52,45,38,0
2024,Jan,WHI01,"1A: France in Revolution, 1774-99",50,,39,34,29,25,21,0
2024,Jan,WHI01,"1B: Russia in Revolution, 1881-1917",50,,39,34,30,26,22,0
2024,Jan,WHI01,"1C: Germany, 1918-45",50,,39,34,29,25,21,0
